,"Фамилия","Имя","Отчество","Дата рождения, возраст","Матчей","Голов","Дата первого матча","Дата последнего матча"
1,"Адамов","Роман","Станиславович",1982-06-21,3,0,2008-03-26,2008-06-10
2,"Акинфеев","Игорь","Владимирович",1986-04-08,110,-95,2004-04-28,2018-07-07
3,"Алвин Маринато","Гильерме",NA,1985-12-12,8,-5,2016-03-26,2019-06-11
4,"Алдонин","Евгений","Валерьевич",1980-01-22,29,0,2002-08-21,2007-02-07
5,"Аленичев","Дмитрий","Анатольевич",1972-10-20,55,6,1996-02-09,2005-02-09
6,"Ананко","Дмитрий","Васильевич",1973-09-29,1,0,2001-02-28,2001-02-28
7,"Анюков","Александр","Геннадьевич",1982-09-28,76,1,2004-05-25,2013-08-14
8,"Арифуллин","Алексей","Саярович",1970-10-13,1,0,1998-04-22,1998-04-22
9,"Аршавин","Андрей","Сергеевич",1981-05-29,74,17,2002-05-17,2012-08-15
10,"Афанасьев","Андрей","Игоревич",1964-05-15,4,0,1993-02-13,1995-05-31
11,"Ахметов","Ильзат","Тоглокович",1997-12-31,3,0,2019-03-21,2019-06-11
12,"Баженов","Никита","Александрович",1985-02-01,1,0,2008-08-20,2008-08-20
13,"Баринов","Дмитрий","Николаевич",1996-09-11,2,0,2019-06-08,2019-06-11
14,"Бахарев","Алексей","Александрович",1976-10-12,1,0,1998-11-18,1998-11-18
15,"Безродный","Артём","Анатольевич",1979-02-10,1,0,1999-09-08,1999-09-08
16,"Березуцкий","Алексей","Владимирович",1982-06-20,57,0,2003-02-12,2016-06-20
17,"Березуцкий","Василий","Владимирович",1982-06-20,101,5,2003-06-07,2016-10-09
18,"Бесчастных","Владимир","Евгеньевич",1974-04-01,71,26,1992-08-16,2003-03-29
19,"Билялетдинов","Динияр","Ринатович",1985-02-27,46,6,2005-08-17,2012-02-29
20,"Бобёр","Антон","Анатольевич",1982-09-28,1,0,2002-03-27,2002-03-27
21,"Боков","Максим","Эдуардович",1973-08-29,3,0,1997-02-07,1997-03-12
22,"Борзенков","Альберт","Валентинович",1973-01-03,1,0,1998-05-30,1998-05-30
23,"Бородюк","Александр","Генрихович",1962-11-30,8,4,1992-10-28,1994-06-24
24,"Бояринцев","Денис","Константинович",1978-02-06,6,0,2004-04-28,2005-02-09
25,"Бугаев","Алексей","Иванович",1981-08-25,7,0,2004-05-25,2005-02-09
26,"Будянский","Виктор","Игоревич",1984-01-12,2,0,2007-06-02,2007-06-06
27,"Бузникин","Максим","Евгеньевич",1977-03-01,8,5,2000-05-31,2001-06-02
28,"Булатов","Виктор","Геннадьевич",1972-01-22,6,0,1998-11-18,2001-02-28
29,"Булыкин","Дмитрий","Олегович",1979-11-20,15,7,2003-09-06,2004-10-13
30,"Бурлак","Тарас","Александрович",1990-02-22,1,0,2011-06-07,2011-06-07
31,"Бут","Владимир","Владимирович",1977-09-07,2,0,1999-08-18,2000-02-23
32,"Бухаров","Александр","Евгеньевич",1985-03-12,9,1,2009-10-14,2017-06-24
33,"Бушманов","Евгений","Александрович",1971-11-02,7,0,1996-02-09,2000-06-04
34,"Быстров","Владимир","Сергеевич",1984-01-31,47,4,2004-03-31,2013-10-11
35,"Быстров","Пётр","Александрович",1979-07-15,2,0,2003-06-07,2003-08-20
36,"Варламов","Евгений","Владимирович",1975-07-25,10,1,1998-05-27,1999-06-09
37,"Васильев","Дмитрий","Владимирович",1977-03-25,1,0,2003-08-20,2003-08-20
38,"Васин","Виктор","Владимирович",1988-10-06,13,2,2010-11-17,2017-11-14
39,"Веретенников","Олег","Александрович",1970-01-05,4,0,1996-08-28,1997-10-11
40,"Воробьёв","Роман","Константинович",1984-03-24,2,0,2007-08-22,2008-08-20
41,"Габулов","Владимир","Борисович",1983-10-19,10,-6,2007-08-22,2013-03-25
42,"Газинский","Юрий","Александрович",1989-07-20,17,1,2016-08-31,2019-03-24
43,"Галямин","Дмитрий","Александрович",1963-01-08,6,0,1993-10-06,1994-06-24
44,"Герасименко","Алексей","Петрович",1970-12-17,7,1,1997-02-10,1998-10-10
45,"Глушаков","Денис","Борисович",1987-01-27,57,5,2011-03-29,2018-03-23
46,"Головин","Александр","Сергеевич",1996-05-30,28,3,2015-06-07,2019-06-11
47,"Горлукович","Сергей","Вадимович",1961-11-18,17,0,1993-03-24,1996-06-19
48,"Горшков","Александр","Викторович",1970-02-08,2,0,1998-05-27,1998-05-30
49,"Гранат","Владимир","Васильевич",1987-05-22,13,1,2013-09-06,2018-07-01
50,"Григорьев","Максим","Сергеевич",1990-07-06,4,0,2012-11-14,2014-10-09
51,"Гришин","Сергей","Сергеевич",1973-11-18,3,1,1997-04-30,1997-08-20
52,"Гусев","Ролан","Александрович",1977-09-17,31,1,2000-05-31,2005-10-08
53,"да Силва Феррейра","Арикленес",NA,1985-12-11,2,0,2018-11-15,2018-11-20
54,"Давыдов","Денис","Алексеевич",1995-03-22,1,0,2015-03-31,2015-03-31
55,"Даев","Вячеслав","Евгеньевич",1972-09-06,8,0,2001-09-01,2002-08-21
56,"Деменко","Максим","Владимирович",1976-03-21,2,0,2000-04-26,2000-05-31
57,"Денисов","Игорь","Владимирович",1984-05-17,53,0,2008-10-11,2016-06-05
58,"Джанаев","Сослан","Тотразович",1987-03-13,1,-4,2016-10-09,2016-10-09
59,"Джикия","Георгий","Тамазович",1993-11-21,17,0,2017-06-05,2019-06-11
60,"Дзагоев","Алан","Елизбарович",1990-06-17,58,9,2008-10-11,2018-07-07
61,"Дзюба","Артём","Сергеевич",1988-08-22,36,20,2011-11-11,2019-06-11
62,"Добровольский","Игорь","Иванович",1967-08-27,18,2,1992-10-14,1998-08-19
63,"Дроздов","Юрий","Алексеевич",1972-01-16,10,0,1999-03-27,2001-10-06
64,"Евсеев","Вадим","Валентинович",1976-01-08,20,1,1999-03-31,2005-08-17
65,"Евсиков","Денис","Сергеевич",1981-02-19,4,0,2003-02-12,2003-06-07
66,"Енин","Артём","Валерьевич",1976-08-06,1,0,1998-09-23,1998-09-23
67,"Ерохин","Александр","Юрьевич",1989-10-13,23,1,2016-08-31,2018-11-20
68,"Есипов","Валерий","Вячеславович",1971-10-04,5,0,1994-08-17,2003-09-06
69,"Ефремов","Дмитрий","Владиславович",1995-04-01,1,0,2015-03-31,2015-03-31
70,"Ещенко","Андрей","Олегович",1984-02-09,14,0,2012-09-11,2014-06-22
71,"Жирков","Юрий","Валентинович",1983-08-20,87,2,2005-02-09,2019-03-21
72,"Заболотный","Антон","Константинович",1991-06-13,9,1,2017-10-07,2018-11-20
73,"Зобнин","Роман","Сергеевич",1994-02-11,23,0,2015-03-31,2019-06-11
74,"Зубко","Денис","Иванович",1974-11-07,4,0,1997-04-30,1998-05-30
75,"Зырянов","Константин","Георгиевич",1977-10-05,51,7,2006-05-27,2012-06-12
76,"Иванов","Андрей","Евгеньевич",1967-04-06,11,0,1992-08-16,1993-09-08
77,"Иванов","Олег","Александрович",1986-08-04,5,0,2015-06-07,2016-06-05
78,"Игнатьев","Владислав","Вячеславович",1987-01-20,5,0,2015-11-14,2019-03-24
79,"Игнашевич","Сергей","Николаевич",1979-07-14,126,8,2002-08-21,2018-07-07
80,"Игонин","Алексей","Андреевич",1976-03-18,2,0,1998-10-14,1998-11-18
81,"Измайлов","Марат","Наилевич",1982-09-21,34,2,2001-08-15,2012-06-16
82,"Ионов","Алексей","Сергеевич",1989-02-18,20,3,2011-03-29,2019-06-11
83,"Камболов","Руслан","Александрович",1990-01-01,6,0,2015-03-31,2018-11-20
84,"Канищев","Анатолий","Анатольевич",1971-12-11,3,0,1996-09-01,1997-02-10
85,"Кантонистов","Любомир","Данилович",1978-08-11,1,0,2004-10-09,2004-10-09
86,"Канунников","Максим","Сергеевич",1991-07-14,12,0,2014-05-26,2017-06-24
87,"Канчельскис","Андрей","Антанасович",1969-01-23,36,4,1993-04-14,1998-09-05
88,"Карпин","Валерий","Георгиевич",1969-02-02,72,17,1992-08-16,2003-02-12
89,"Каряка","Андрей","Константинович",1978-04-01,27,6,2001-08-15,2005-08-17
90,"Кержаков","Александр","Анатольевич",1982-11-27,90,30,2002-03-27,2016-03-26
91,"Кечинов","Валерий","Викторович",1974-08-05,6,2,1995-05-06,1998-02-18
92,"Кириченко","Дмитрий","Сергеевич",1977-01-17,12,4,2003-02-12,2006-05-27
93,"Кирьяков","Сергей","Вячеславович",1970-01-01,28,10,1992-10-14,1998-09-23
94,"Кобелев","Андрей","Николаевич",1968-10-22,1,0,1992-08-16,1992-08-16
95,"Ковтун","Юрий","Михайлович",1970-01-05,50,2,1994-03-23,2003-08-20
96,"Козлов","Алексей","Анатольевич",1986-12-25,14,0,2013-06-07,2015-03-31
